churn_id,customer_id,churn_date,churn_reason,churn_category,competitor,days_since_last_activity
66,691,2025-12-16,Service Quality,Service,None,81
67,709,2025-03-24,Service Quality,Service,None,81
68,713,2025-08-21,Poor Network,Service,None,8
69,724,2025-09-06,High Price,Commercial,None,52
70,731,2025-06-11,Service Quality,Service,None,111
71,733,2025-06-05,Relocation,Other,None,100
72,749,2025-05-20,Personal Reasons,Other,None,61
73,767,2025-07-24,Relocation,Other,None,55
74,773,2025-03-12,Poor Support,Service,None,53
75,788,2025-04-04,Poor Network,Service,None,88
76,829,2025-07-24,Competitor Offer,Commercial,BSNL,11
77,833,2025-05-27,Poor Network,Service,None,112
78,839,2025-10-05,High Price,Commercial,None,68
79,851,2025-10-15,Competitor Offer,Commercial,Vi,70
80,861,2025-10-22,High Price,Commercial,None,21
81,862,2025-05-15,Poor Network,Service,None,49
82,865,2025-04-21,Poor Network,Service,None,68
83,870,2025-09-20,High Price,Commercial,None,97
84,890,2025-02-22,Service Quality,Service,None,16
85,908,2025-02-16,Personal Reasons,Other,None,66
86,919,2025-11-22,Poor Network,Service,None,12
87,920,2025-04-14,Personal Reasons,Other,None,42
88,925,2025-08-17,Competitor Offer,Commercial,Airtel,107
89,926,2025-02-06,Service Quality,Service,None,109
90,962,2025-09-30,Poor Network,Service,None,64
91,973,2025-12-22,Relocation,Other,None,29
92,998,2025-10-28,Service Quality,Service,None,74
93,1020,2025-09-19,Relocation,Other,None,113
94,1027,2025-05-03,High Price,Commercial,None,29
95,1032,2025-06-03,Personal Reasons,Other,None,70
96,1034,2025-09-29,Relocation,Other,None,87
97,1035,2025-08-04,Relocation,Other,None,54
98,1041,2025-05-10,Poor Network,Service,None,71
99,1059,2025-04-06,Personal Reasons,Other,None,83
100,1066,2025-06-26,Personal Reasons,Other,None,37
101,1080,2025-02-05,Service Quality,Service,None,89
102,1092,2025-07-06,Personal Reasons,Other,None,12
103,1113,2025-04-27,Relocation,Other,None,110
104,1114,2025-02-14,Personal Reasons,Other,None,72
105,1117,2025-07-13,Poor Network,Service,None,40
106,1128,2025-04-05,Relocation,Other,None,70
107,1143,2025-05-07,Relocation,Other,None,79
108,1169,2025-09-27,Competitor Offer,Commercial,Airtel,92
109,1171,2025-08-19,Relocation,Other,None,45
110,1173,2025-08-10,Service Quality,Service,None,69
111,1189,2025-12-30,Service Quality,Service,None,42
112,1190,2025-05-04,Relocation,Other,None,27
113,1203,2025-06-20,High Price,Commercial,None,50
114,1207,2025-11-30,Personal Reasons,Other,None,62
115,1216,2025-11-16,Competitor Offer,Commercial,Jio,79
116,1219,2025-10-01,Relocation,Other,None,84
117,1225,2025-07-13,Service Quality,Service,None,84
118,1235,2025-05-22,Personal Reasons,Other,None,28
119,1239,2025-03-22,Personal Reasons,Other,None,110
120,1258,2025-06-25,Poor Network,Service,None,53
121,1260,2025-02-02,Service Quality,Service,None,16
122,1268,2025-07-19,Service Quality,Service,None,7
123,1275,2025-03-21,Personal Reasons,Other,None,11
124,1278,2025-03-26,Service Quality,Service,None,95
125,1284,2025-05-23,Poor Support,Service,None,38
126,1285,2025-06-18,High Price,Commercial,None,118
127,1291,2025-09-18,Personal Reasons,Other,None,79
128,1295,2025-07-13,Poor Support,Service,None,110
129,1296,2025-05-16,Competitor Offer,Commercial,Vi,119
130,1311,2025-07-08,Personal Reasons,Other,None,26
131,1328,2025-07-06,High Price,Commercial,None,23
132,1339,2025-03-09,Competitor Offer,Commercial,BSNL,70
133,1350,2025-09-08,Personal Reasons,Other,None,16
134,1354,2025-09-15,Relocation,Other,None,26
135,1360,2025-07-03,Poor Support,Service,None,70
136,1377,2025-02-06,Relocation,Other,None,68
137,1381,2025-03-29,High Price,Commercial,None,28
138,1395,2025-07-13,Poor Network,Service,None,69
139,1404,2025-10-02,Relocation,Other,None,88
140,1423,2025-07-24,Service Quality,Service,None,51
141,1437,2025-03-22,Relocation,Other,None,58
142,1446,2025-10-25,Competitor Offer,Commercial,BSNL,26
143,1455,2025-11-07,Poor Network,Service,None,64
144,1466,2025-04-26,Relocation,Other,None,6
145,1477,2025-08-07,Competitor Offer,Commercial,Vi,113
146,1482,2025-02-20,Service Quality,Service,None,81
147,1485,2025-06-26,Service Quality,Service,None,14
148,1492,2025-07-29,High Price,Commercial,None,51
149,1493,2025-03-09,Poor Network,Service,None,28
150,1505,2025-06-17,Poor Network,Service,None,6
151,1518,2025-11-02,Competitor Offer,Commercial,Vi,116
152,1528,2025-07-19,Service Quality,Service,None,65
153,1565,2025-11-13,Competitor Offer,Commercial,Vi,86
154,1572,2025-07-30,Poor Network,Service,None,9
155,1577,2025-08-13,Poor Support,Service,None,78
156,1580,2025-08-08,High Price,Commercial,None,9
157,1581,2025-06-07,Service Quality,Service,None,63
158,1592,2025-12-11,Personal Reasons,Other,None,8
159,1602,2025-10-26,Relocation,Other,None,27
160,1627,2025-12-28,Service Quality,Service,None,8
161,1629,2025-11-08,Personal Reasons,Other,None,14
162,1659,2025-08-04,Personal Reasons,Other,None,58
163,1676,2025-06-16,Service Quality,Service,None,21
164,1683,2025-07-28,Poor Support,Service,None,118
165,1700,2025-02-08,Competitor Offer,Commercial,Jio,109
166,1702,2025-12-06,Competitor Offer,Commercial,Vi,29
167,1743,2025-07-05,Poor Support,Service,None,90
168,1770,2025-07-27,Personal Reasons,Other,None,61
169,1773,2025-06-08,Personal Reasons,Other,None,36
170,1774,2025-02-08,Personal Reasons,Other,None,97
171,1798,2025-07-26,Personal Reasons,Other,None,89
172,1813,2025-09-06,Service Quality,Service,None,111
173,1824,2025-03-26,Relocation,Other,None,48
174,1826,2025-04-10,Relocation,Other,None,68
175,1850,2025-05-26,Relocation,Other,None,44
176,1872,2025-06-01,Service Quality,Service,None,44
177,1876,2025-09-21,High Price,Commercial,None,68
178,1881,2025-02-19,Service Quality,Service,None,25
179,1889,2025-10-26,Personal Reasons,Other,None,38
180,1890,2025-06-09,Poor Network,Service,None,85
181,1907,2025-08-12,Service Quality,Service,None,84
182,1908,2025-03-01,Relocation,Other,None,20
183,1929,2025-05-05,Poor Network,Service,None,5
184,1931,2025-05-22,Relocation,Other,None,112
185,1932,2025-05-10,Personal Reasons,Other,None,115
186,1935,2025-09-11,Competitor Offer,Commercial,Vi,34
187,1937,2025-12-01,Poor Network,Service,None,16
188,1941,2025-05-16,Service Quality,Service,None,114
189,1954,2025-11-13,Relocation,Other,None,64
190,1958,2025-07-13,High Price,Commercial,None,93
191,1973,2025-07-25,Competitor Offer,Commercial,Airtel,39
192,1979,2025-10-27,Service Quality,Service,None,23
193,1984,2025-11-30,Relocation,Other,None,105
194,1987,2025-02-16,Personal Reasons,Other,None,97
195,1994,2025-07-08,Competitor Offer,Commercial,BSNL,109
196,2007,2025-03-21,Poor Network,Service,None,12
197,2026,2025-08-14,Personal Reasons,Other,None,10
198,2051,2025-08-27,Service Quality,Service,None,35
199,2062,2025-05-13,Relocation,Other,None,114
200,2068,2025-11-09,Poor Support,Service,None,79
201,2084,2025-06-17,Poor Support,Service,None,102
202,2092,2025-03-05,Relocation,Other,None,85
203,2094,2025-05-29,Personal Reasons,Other,None,67
204,2102,2025-12-09,Poor Network,Service,None,101
205,2124,2025-05-28,Poor Support,Service,None,76
206,2138,2025-02-15,Service Quality,Service,None,73
207,2139,2025-06-08,Relocation,Other,None,88
208,2140,2025-10-27,Competitor Offer,Commercial,Jio,50
209,2150,2025-09-02,Poor Network,Service,None,108
210,2156,2025-12-08,Poor Support,Service,None,53
211,2162,2025-10-19,Poor Network,Service,None,44
212,2175,2025-09-10,Competitor Offer,Commercial,Airtel,67
213,2199,2025-04-20,Relocation,Other,None,65
214,2210,2025-05-05,Competitor Offer,Commercial,Vi,80
215,2216,2025-12-29,Relocation,Other,None,116
216,2232,2025-12-13,Personal Reasons,Other,None,97
217,2234,2025-02-06,Competitor Offer,Commercial,Vi,10
218,2239,2025-04-08,Poor Support,Service,None,31
219,2255,2025-09-07,Poor Support,Service,None,114
220,2256,2025-07-06,Competitor Offer,Commercial,Airtel,101
221,2269,2025-05-09,Competitor Offer,Commercial,Jio,29
222,2271,2025-04-27,Competitor Offer,Commercial,BSNL,112
223,2277,2025-05-19,Relocation,Other,None,42
224,2327,2025-10-10,High Price,Commercial,None,45
225,2341,2025-03-20,Poor Support,Service,None,82
226,2347,2025-11-23,Personal Reasons,Other,None,97
227,2348,2025-05-04,High Price,Commercial,None,24
228,2363,2025-09-09,Relocation,Other,None,52
229,2372,2025-07-27,Service Quality,Service,None,27
230,2388,2025-05-13,Competitor Offer,Commercial,Vi,33
231,2408,2025-02-02,Poor Network,Service,None,106
232,2409,2025-06-04,Poor Network,Service,None,115
233,2421,2025-03-19,Poor Support,Service,None,110
234,2435,2025-07-16,High Price,Commercial,None,7
235,2438,2025-03-03,Personal Reasons,Other,None,104
236,2454,2025-06-29,Personal Reasons,Other,None,55
237,2473,2025-09-08,Service Quality,Service,None,53
238,2481,2025-08-15,Relocation,Other,None,85
239,2488,2025-07-18,High Price,Commercial,None,26
240,2490,2025-02-03,Relocation,Other,None,9
241,2501,2025-08-28,High Price,Commercial,None,78
242,2507,2025-12-10,Personal Reasons,Other,None,12
243,2517,2025-11-15,Competitor Offer,Commercial,Airtel,30
244,2546,2025-07-15,Poor Network,Service,None,103
245,2553,2025-02-19,Poor Support,Service,None,83
246,2559,2025-10-03,Relocation,Other,None,25
247,2569,2025-08-03,Service Quality,Service,None,41
248,2577,2025-03-12,Poor Support,Service,None,106
249,2584,2025-12-03,Service Quality,Service,None,119
250,2585,2025-07-01,Service Quality,Service,None,86
251,2588,2025-10-30,Poor Support,Service,None,48
252,2591,2025-04-05,Relocation,Other,None,52
253,2600,2025-05-26,Service Quality,Service,None,92
254,2601,2025-10-21,Relocation,Other,None,35
255,2604,2025-12-20,Competitor Offer,Commercial,Airtel,99
256,2623,2025-12-06,High Price,Commercial,None,5
257,2635,2025-02-24,Relocation,Other,None,118
258,2636,2025-05-09,Personal Reasons,Other,None,119
259,2650,2025-10-15,Service Quality,Service,None,34
260,2653,2025-02-18,Competitor Offer,Commercial,Airtel,84
261,2662,2025-12-20,Personal Reasons,Other,None,8
262,2679,2025-09-12,Poor Network,Service,None,49
263,2688,2025-05-14,Service Quality,Service,None,95
264,2690,2025-12-23,Service Quality,Service,None,86
265,2698,2025-03-05,High Price,Commercial,None,97
266,2709,2025-07-27,Service Quality,Service,None,59
267,2711,2025-10-09,Poor Support,Service,None,102
268,2714,2025-12-04,Service Quality,Service,None,58
269,2735,2025-06-15,Service Quality,Service,None,27
270,2742,2025-03-27,Personal Reasons,Other,None,67
271,2747,2025-07-22,Poor Support,Service,None,57
272,2748,2025-07-27,High Price,Commercial,None,8
273,2776,2025-08-07,Personal Reasons,Other,None,5
274,2779,2025-04-06,Competitor Offer,Commercial,Airtel,84
275,2793,2025-07-06,High Price,Commercial,None,62
276,2796,2025-09-03,Poor Network,Service,None,53
277,2813,2025-08-29,Service Quality,Service,None,11
278,2821,2025-06-24,Service Quality,Service,None,90
279,2822,2025-07-21,High Price,Commercial,None,7
280,2830,2025-07-22,Service Quality,Service,None,73
281,2843,2025-12-09,Poor Network,Service,None,76
282,2851,2025-05-30,Poor Support,Service,None,87
283,2864,2025-09-01,High Price,Commercial,None,44
284,2879,2025-05-18,Relocation,Other,None,12
285,2899,2025-04-13,High Price,Commercial,None,10
286,2914,2025-10-01,Personal Reasons,Other,None,87
287,2931,2025-10-22,Relocation,Other,None,115
288,2941,2025-05-24,Competitor Offer,Commercial,Vi,59
289,2954,2025-06-05,High Price,Commercial,None,55
290,2955,2025-04-04,Poor Network,Service,None,95
291,2983,2025-11-25,Poor Support,Service,None,79
292,2991,2025-04-03,Relocation,Other,None,15
293,2995,2025-07-25,Relocation,Other,None,43
294,2999,2025-07-19,Relocation,Other,None,58
295,3008,2025-09-05,Service Quality,Service,None,14
296,3012,2025-03-05,Poor Support,Service,None,32
297,3023,2025-02-27,Poor Support,Service,None,118
298,3027,2025-12-23,Personal Reasons,Other,None,12
299,3029,2025-02-27,Competitor Offer,Commercial,Airtel,60
300,3036,2025-04-22,Service Quality,Service,None,105
301,3038,2025-06-14,Personal Reasons,Other,None,17
302,3068,2025-09-01,Relocation,Other,None,113
303,3070,2025-12-24,Poor Network,Service,None,65
304,3083,2025-03-08,Competitor Offer,Commercial,Vi,42
305,3084,2025-04-04,Personal Reasons,Other,None,56
306,3091,2025-03-27,Competitor Offer,Commercial,BSNL,24
307,3106,2025-11-08,Relocation,Other,None,80
308,3107,2025-06-11,Poor Support,Service,None,58
309,3109,2025-04-25,Service Quality,Service,None,21
310,3124,2025-10-15,High Price,Commercial,None,36
311,3128,2025-05-02,Competitor Offer,Commercial,Vi,93
312,3132,2025-11-17,Service Quality,Service,None,62
313,3140,2025-06-11,Competitor Offer,Commercial,Vi,50
314,3146,2025-03-01,Poor Network,Service,None,109
315,3154,2025-08-24,Poor Support,Service,None,18
316,3192,2025-11-17,Service Quality,Service,None,18
317,3208,2025-09-14,Personal Reasons,Other,None,91
318,3220,2025-07-02,Competitor Offer,Commercial,Jio,100
319,3252,2025-12-13,High Price,Commercial,None,21
320,3265,2025-11-02,Competitor Offer,Commercial,Vi,73
321,3282,2025-04-04,Competitor Offer,Commercial,Jio,65
322,3283,2025-10-08,Competitor Offer,Commercial,Jio,60
323,3289,2025-04-19,Relocation,Other,None,62
324,3302,2025-03-11,Poor Support,Service,None,49
325,3304,2025-04-11,Personal Reasons,Other,None,30
326,3318,2025-06-12,High Price,Commercial,None,23
327,3322,2025-10-13,Personal Reasons,Other,None,34
328,3325,2025-11-14,Poor Support,Service,None,90
329,3326,2025-09-02,Competitor Offer,Commercial,Jio,62
330,3333,2025-02-16,Relocation,Other,None,68
331,3349,2025-03-29,Service Quality,Service,None,17
332,3355,2025-07-01,Poor Network,Service,None,107
333,3357,2025-04-13,Service Quality,Service,None,65
334,3367,2025-05-26,Poor Network,Service,None,51
335,3368,2025-03-05,Competitor Offer,Commercial,BSNL,21
336,3376,2025-03-20,Competitor Offer,Commercial,Jio,53
337,3380,2025-09-30,Relocation,Other,None,46
338,3387,2025-07-13,High Price,Commercial,None,110
339,3395,2025-02-18,Service Quality,Service,None,47
340,3400,2025-02-06,Poor Network,Service,None,116
341,3467,2025-11-07,Service Quality,Service,None,74
342,3477,2025-07-19,Personal Reasons,Other,None,42
343,3482,2025-06-20,Personal Reasons,Other,None,56
344,3487,2025-11-03,Service Quality,Service,None,13
345,3489,2025-12-29,Personal Reasons,Other,None,115
346,3496,2025-06-02,High Price,Commercial,None,78
347,3498,2025-03-27,Relocation,Other,None,96
348,3506,2025-07-29,Personal Reasons,Other,None,67
349,3519,2025-08-20,Service Quality,Service,None,119
350,3520,2025-03-24,Competitor Offer,Commercial,Vi,31
351,3534,2025-05-11,Poor Support,Service,None,91
352,3554,2025-11-12,Poor Network,Service,None,39
353,3563,2025-12-20,Relocation,Other,None,75
354,3565,2025-12-15,Competitor Offer,Commercial,Jio,95
355,3578,2025-07-22,High Price,Commercial,None,44
356,3589,2025-03-15,Personal Reasons,Other,None,101
357,3591,2025-09-09,Poor Support,Service,None,35
358,3594,2025-11-15,Service Quality,Service,None,89
359,3600,2025-09-14,Relocation,Other,None,114
360,3621,2025-09-04,High Price,Commercial,None,69
361,3636,2025-03-13,Service Quality,Service,None,69
362,3638,2025-06-26,Poor Support,Service,None,69
363,3647,2025-03-18,Personal Reasons,Other,None,71
364,3655,2025-12-27,Personal Reasons,Other,None,111
365,3659,2025-07-05,Poor Network,Service,None,100
366,3662,2025-06-17,Poor Support,Service,None,112
367,3664,2025-12-16,High Price,Commercial,None,84
368,3666,2025-02-17,Poor Network,Service,None,108
369,3681,2025-06-06,Poor Support,Service,None,13
370,3682,2025-09-20,Poor Support,Service,None,50
371,3714,2025-10-06,High Price,Commercial,None,91
372,3720,2025-05-24,Relocation,Other,None,116
373,3735,2025-07-23,Personal Reasons,Other,None,118
374,3737,2025-06-05,Competitor Offer,Commercial,Vi,53
375,3747,2025-09-25,Personal Reasons,Other,None,6
376,3753,2025-11-12,Relocation,Other,None,7
377,3778,2025-03-14,Personal Reasons,Other,None,43
378,3781,2025-04-13,Competitor Offer,Commercial,Vi,89
379,3796,2025-04-11,Personal Reasons,Other,None,56
380,3806,2025-07-10,High Price,Commercial,None,79
381,3812,2025-08-18,Poor Network,Service,None,75
382,3821,2025-10-27,Poor Network,Service,None,91
383,3826,2025-09-10,Service Quality,Service,None,88
384,3830,2025-09-03,Competitor Offer,Commercial,Vi,81
385,3832,2025-12-25,Service Quality,Service,None,56
386,3834,2025-08-02,Service Quality,Service,None,48
387,3837,2025-03-10,High Price,Commercial,None,21
388,3862,2025-04-02,Competitor Offer,Commercial,Airtel,78
389,3869,2025-11-27,High Price,Commercial,None,36
390,3879,2025-11-06,Competitor Offer,Commercial,Airtel,78
391,3896,2025-12-23,High Price,Commercial,None,109
392,3916,2025-07-01,Poor Network,Service,None,12
393,3935,2025-02-06,Relocation,Other,None,48
394,3939,2025-12-11,Poor Support,Service,None,29
395,3943,2025-07-05,High Price,Commercial,None,61
396,3952,2025-11-22,High Price,Commercial,None,87
397,3954,2025-06-14,Competitor Offer,Commercial,BSNL,24
398,3959,2025-02-03,High Price,Commercial,None,13
399,3962,2025-09-01,Service Quality,Service,None,82
400,3963,2025-05-26,Competitor Offer,Commercial,Jio,76
401,3970,2025-03-03,Poor Support,Service,None,32
402,3971,2025-06-25,Personal Reasons,Other,None,33
403,4010,2025-07-03,Personal Reasons,Other,None,107
404,4011,2025-10-19,Relocation,Other,None,34
405,4023,2025-10-16,Service Quality,Service,None,34
406,4030,2025-08-17,Relocation,Other,None,79
407,4057,2025-12-06,Service Quality,Service,None,87
408,4065,2025-10-04,Relocation,Other,None,73
409,4075,2025-07-20,Competitor Offer,Commercial,Airtel,47
410,4089,2025-12-21,Relocation,Other,None,116
411,4096,2025-04-07,Service Quality,Service,None,30
412,4100,2025-07-31,Poor Support,Service,None,85
413,4102,2025-11-06,Poor Network,Service,None,34
414,4103,2025-04-21,Poor Network,Service,None,106
415,4109,2025-02-11,Relocation,Other,None,100
416,4117,2025-05-05,Relocation,Other,None,61
417,4150,2025-06-13,Service Quality,Service,None,79
418,4153,2025-02-20,High Price,Commercial,None,54
419,4154,2025-08-28,Poor Support,Service,None,60
420,4156,2025-03-27,Poor Network,Service,None,7
421,4172,2025-08-18,Personal Reasons,Other,None,103
422,4180,2025-03-11,High Price,Commercial,None,54
423,4181,2025-08-05,Competitor Offer,Commercial,Airtel,18
424,4182,2025-04-16,High Price,Commercial,None,9
425,4184,2025-04-26,Service Quality,Service,None,21
426,4202,2025-12-10,Poor Support,Service,None,74
427,4207,2025-03-01,High Price,Commercial,None,7
428,4212,2025-06-01,High Price,Commercial,None,94
429,4234,2025-09-10,Competitor Offer,Commercial,Vi,32
430,4241,2025-03-06,Competitor Offer,Commercial,Airtel,109
431,4242,2025-07-25,Competitor Offer,Commercial,Airtel,115
432,4249,2025-12-20,Service Quality,Service,None,67
433,4260,2025-06-21,Poor Support,Service,None,6
434,4273,2025-11-26,Poor Network,Service,None,112
435,4284,2025-09-25,High Price,Commercial,None,93
436,4289,2025-07-02,Personal Reasons,Other,None,19
437,4306,2025-12-10,Relocation,Other,None,85
438,4316,2025-08-28,Service Quality,Service,None,64
439,4326,2025-03-20,High Price,Commercial,None,8
440,4328,2025-07-15,Relocation,Other,None,56
441,4330,2025-06-13,Poor Support,Service,None,115
442,4344,2025-02-20,Relocation,Other,None,110
443,4347,2025-11-05,Relocation,Other,None,24
444,4349,2025-11-11,Competitor Offer,Commercial,Vi,109
445,4359,2025-09-18,Relocation,Other,None,46
446,4378,2025-10-07,Personal Reasons,Other,None,9
447,4380,2025-11-19,Poor Support,Service,None,92
448,4391,2025-06-09,Poor Support,Service,None,57
449,4400,2025-11-11,Poor Network,Service,None,29
450,4407,2025-09-28,Service Quality,Service,None,88
451,4436,2025-04-12,Poor Support,Service,None,89
452,4440,2025-09-13,Personal Reasons,Other,None,109
453,4456,2025-06-19,High Price,Commercial,None,28
454,4495,2025-10-17,Service Quality,Service,None,115
455,4506,2025-04-27,High Price,Commercial,None,77
456,4511,2025-12-09,Poor Network,Service,None,113
457,4518,2025-06-20,Personal Reasons,Other,None,60
458,4525,2025-03-19,Personal Reasons,Other,None,60
459,4526,2025-06-11,Service Quality,Service,None,5
460,4549,2025-12-29,Competitor Offer,Commercial,BSNL,14
461,4551,2025-08-15,Poor Network,Service,None,67
462,4563,2025-12-24,Competitor Offer,Commercial,BSNL,39
463,4564,2025-08-06,Poor Support,Service,None,93
464,4569,2025-02-04,Personal Reasons,Other,None,115
465,4582,2025-12-04,Service Quality,Service,None,37
466,4595,2025-04-10,Service Quality,Service,None,10
467,4596,2025-12-16,Competitor Offer,Commercial,BSNL,45
468,4605,2025-11-17,High Price,Commercial,None,54
469,4611,2025-05-25,Personal Reasons,Other,None,15
470,4615,2025-12-16,High Price,Commercial,None,85
471,4623,2025-09-13,Personal Reasons,Other,None,30
472,4631,2025-06-22,Competitor Offer,Commercial,Vi,41
473,4646,2025-10-21,Personal Reasons,Other,None,22
474,4658,2025-08-01,Competitor Offer,Commercial,Jio,93
475,4661,2025-05-10,Service Quality,Service,None,97
476,4683,2025-10-02,Competitor Offer,Commercial,BSNL,57
477,4685,2025-12-04,Service Quality,Service,None,109
478,4703,2025-04-18,Competitor Offer,Commercial,Jio,13
479,4710,2025-10-16,Poor Network,Service,None,6
480,4715,2025-02-17,Poor Network,Service,None,115
481,4719,2025-09-17,Service Quality,Service,None,58
482,4720,2025-04-13,Personal Reasons,Other,None,39
483,4732,2025-10-06,Competitor Offer,Commercial,BSNL,109
484,4740,2025-10-25,Service Quality,Service,None,69
485,4745,2025-02-28,Competitor Offer,Commercial,Vi,114
486,4746,2025-02-04,Competitor Offer,Commercial,Vi,84
487,4766,2025-09-27,High Price,Commercial,None,47
488,4799,2025-06-26,Personal Reasons,Other,None,41
489,4812,2025-08-04,High Price,Commercial,None,31
490,4835,2025-11-03,High Price,Commercial,None,58
491,4837,2025-03-09,Poor Network,Service,None,74
492,4844,2025-03-19,Relocation,Other,None,25
493,4846,2025-06-04,Competitor Offer,Commercial,Airtel,99
494,4890,2025-09-08,Poor Network,Service,None,30
495,4893,2025-03-31,Competitor Offer,Commercial,Jio,77
496,4900,2025-04-21,Poor Support,Service,None,5
497,4902,2025-02-10,Poor Support,Service,None,62
498,4906,2025-12-29,Personal Reasons,Other,None,9
499,4923,2025-02-22,Relocation,Other,None,37
500,4940,2025-07-25,High Price,Commercial,None,56
501,4946,2025-02-16,Poor Support,Service,None,73
502,4947,2025-09-16,Poor Network,Service,None,109
503,4957,2025-07-28,Competitor Offer,Commercial,BSNL,81
504,4979,2025-10-03,Relocation,Other,None,117
505,4988,2025-06-19,Poor Network,Service,None,76
506,4996,2025-08-10,Competitor Offer,Commercial,Vi,74
507,5004,2025-07-06,Personal Reasons,Other,None,34
508,5027,2025-11-02,Personal Reasons,Other,None,24
509,5051,2025-03-19,High Price,Commercial,None,22
510,5053,2025-05-30,Poor Support,Service,None,19
511,5055,2025-05-23,High Price,Commercial,None,112
512,5062,2025-07-10,Poor Network,Service,None,70
513,5065,2025-11-17,High Price,Commercial,None,44
514,5090,2025-07-18,Poor Network,Service,None,73
515,5100,2025-12-10,Relocation,Other,None,97
516,5106,2025-02-28,Competitor Offer,Commercial,BSNL,93
517,5112,2025-06-13,Relocation,Other,None,23
518,5143,2025-08-06,Relocation,Other,None,20
519,5173,2025-05-15,Poor Support,Service,None,86
520,5175,2025-07-21,High Price,Commercial,None,112
521,5191,2025-09-16,Poor Support,Service,None,89
522,5192,2025-09-15,Competitor Offer,Commercial,Jio,63
523,5197,2025-12-17,Competitor Offer,Commercial,Airtel,64
524,5204,2025-08-01,Competitor Offer,Commercial,BSNL,11
525,5211,2025-05-07,High Price,Commercial,None,14
526,5233,2025-02-11,Competitor Offer,Commercial,BSNL,110
527,5239,2025-08-30,Competitor Offer,Commercial,BSNL,114
528,5247,2025-03-08,High Price,Commercial,None,102
529,5248,2025-07-24,Personal Reasons,Other,None,38
530,5252,2025-04-15,Relocation,Other,None,92
531,5259,2025-02-11,Service Quality,Service,None,68
532,5260,2025-12-04,Service Quality,Service,None,8
533,5275,2025-03-31,High Price,Commercial,None,20
534,5277,2025-03-10,Poor Network,Service,None,48
